"st_abb","st_code","county_name","fips","date","stability","tmin","tmax","tavg"
"NY",36,"Albany",36001,20230101,"stable",3.478,11.025,7.251
"NY",36,"Albany",36001,20230102,"stable",-0.12,6.542,3.211
"NY",36,"Albany",36001,20230103,"stable",-2.669,8.716,3.023
"NY",36,"Albany",36001,20230104,"stable",0.092,3.957,2.025
"NY",36,"Albany",36001,20230105,"stable",2.776,7.11,4.943
"NY",36,"Albany",36001,20230106,"stable",2.208,8.057,5.132
"NY",36,"Albany",36001,20230107,"stable",-2.097,5.138,1.521
"NY",36,"Albany",36001,20230108,"stable",-6.476,3.982,-1.247
"NY",36,"Albany",36001,20230109,"stable",-7.901,1.207,-3.347
"NY",36,"Albany",36001,20230110,"stable",-4.505,1.462,-1.522
"NY",36,"Albany",36001,20230111,"stable",-7.718,1.834,-2.942
"NY",36,"Albany",36001,20230112,"stable",-7.677,0.055,-3.811
"NY",36,"Albany",36001,20230113,"stable",-1.639,6.842,2.601
"NY",36,"Albany",36001,20230114,"stable",-4.288,7.177,1.444
"NY",36,"Albany",36001,20230115,"stable",-5.794,-1.998,-3.896
"NY",36,"Albany",36001,20230116,"stable",-8.894,-0.063,-4.478
"NY",36,"Albany",36001,20230117,"stable",-8.815,1.054,-3.88
"NY",36,"Albany",36001,20230118,"stable",-8.246,1.345,-3.45
"NY",36,"Albany",36001,20230119,"stable",-1.867,5.848,1.99
"NY",36,"Albany",36001,20230120,"stable",-1.3,1.191,-0.055
"NY",36,"Albany",36001,20230121,"stable",-2.303,2.794,0.246
"NY",36,"Albany",36001,20230122,"stable",-3.785,-0.6,-2.192
"NY",36,"Albany",36001,20230123,"stable",-2.127,1.096,-0.516
"NY",36,"Albany",36001,20230124,"stable",-2.722,0.834,-0.944
"NY",36,"Albany",36001,20230125,"stable",-4.425,1.196,-1.614
"NY",36,"Albany",36001,20230126,"stable",-3.416,1.347,-1.034
"NY",36,"Albany",36001,20230127,"stable",-5.646,3.912,-0.867
"NY",36,"Albany",36001,20230128,"stable",-4.726,1.682,-1.522
"NY",36,"Albany",36001,20230129,"stable",-6.907,6.654,-0.126
"NY",36,"Albany",36001,20230130,"stable",-5.48,6.296,0.408
"NY",36,"Albany",36001,20230131,"stable",-3.644,1.163,-1.241
"NY",36,"Allegany",36003,20230101,"stable",1.572,11.447,6.509
"NY",36,"Allegany",36003,20230102,"stable",0.644,6.16,3.402
"NY",36,"Allegany",36003,20230103,"stable",1.389,10.26,5.825
"NY",36,"Allegany",36003,20230104,"stable",4.719,12.919,8.819
"NY",36,"Allegany",36003,20230105,"stable",0.766,13.376,7.071
"NY",36,"Allegany",36003,20230106,"stable",-0.784,6.064,2.64
"NY",36,"Allegany",36003,20230107,"stable",-1.341,1.074,-0.134
"NY",36,"Allegany",36003,20230108,"stable",-3.094,0.589,-1.253
"NY",36,"Allegany",36003,20230109,"stable",-3.966,0.918,-1.524
"NY",36,"Allegany",36003,20230110,"stable",-3.513,1.563,-0.975
"NY",36,"Allegany",36003,20230111,"stable",-3.05,0.74,-1.155
"NY",36,"Allegany",36003,20230112,"stable",-2.575,3.827,0.626
"NY",36,"Allegany",36003,20230113,"stable",-1.484,4.298,1.407
"NY",36,"Allegany",36003,20230114,"stable",-7.257,-1.285,-4.271
"NY",36,"Allegany",36003,20230115,"stable",-7.854,-5.985,-6.92
"NY",36,"Allegany",36003,20230116,"stable",-10.496,-2.101,-6.298
"NY",36,"Allegany",36003,20230117,"stable",-9.888,5.333,-2.277
"NY",36,"Allegany",36003,20230118,"stable",-0.468,6.377,2.955
