,Month,Year,TempAvg
0,January,1869,34.596774193548384
1,January,1870,37.693548387096776
2,January,1871,27.838709677419356
3,January,1872,29.129032258064516
4,January,1873,27.35483870967742
5,January,1874,34.435483870967744
6,January,1875,23.806451612903224
7,January,1876,36.29032258064516
8,January,1877,27.677419354838708
9,January,1878,29.919354838709676
10,January,1879,25.983870967741936
11,January,1880,39.225806451612904
12,January,1881,24.629032258064516
13,January,1882,28.306451612903224
14,January,1883,24.403225806451612
15,January,1884,24.451612903225808
16,January,1885,29.080645161290324
17,January,1886,25.967741935483872
18,January,1887,28.306451612903224
19,January,1888,23.241935483870968
20,January,1889,35.74193548387097
21,January,1890,37.61290322580645
22,January,1891,34.08064516129032
23,January,1892,31.677419354838708
24,January,1893,23.758064516129032
25,January,1894,33.70967741935484
26,January,1895,29.612903225806452
27,January,1896,29.967741935483872
28,January,1897,30.79032258064516
29,January,1898,35.37096774193548
30,January,1899,31.338709677419356
31,January,1900,32.225806451612904
32,January,1901,32.564516129032256
33,January,1902,30.467741935483872
34,January,1903,30.483870967741936
35,January,1904,25.274193548387096
36,January,1905,29.274193548387096
37,January,1906,38.38709677419355
38,January,1907,34.854838709677416
39,January,1908,32.983870967741936
40,January,1909,34.516129032258064
41,January,1910,31.532258064516128
42,January,1911,36.25806451612903
43,January,1912,23.725806451612904
44,January,1913,40.82258064516129
45,January,1914,31.483870967741936
46,January,1915,34.45161290322581
47,January,1916,35.95161290322581
48,January,1917,32.83870967741935
49,January,1918,21.677419354838708
50,January,1919,35.61290322580645
51,January,1920,23.43548387096774
52,January,1921,33.403225806451616
53,January,1922,28.161290322580644
54,January,1923,29.919354838709676
55,January,1924,32.645161290322584
56,January,1925,28.403225806451612
57,January,1926,31.951612903225808
58,January,1927,30.903225806451612
59,January,1928,33.95161290322581
60,January,1929,31.919354838709676
61,January,1930,33.29032258064516
62,January,1931,32.725806451612904
63,January,1932,43.193548387096776
64,January,1933,40.306451612903224
65,January,1934,34.645161290322584
66,January,1935,28.838709677419356
67,January,1936,29.274193548387096
68,January,1937,40.20967741935484
69,January,1938,32.096774193548384
70,January,1939,32.145161290322584
71,January,1940,24.951612903225808
72,January,1941,29.403225806451612
73,January,1942,30.693548387096776
74,January,1943,30.741935483870968
75,January,1944,33.903225806451616
76,January,1945,25.193548387096776
77,January,1946,34.11290322580645
78,January,1947,37.12903225806452
79,January,1948,25.403225806451612
80,January,1949,38.61290322580645
81,January,1950,41.41935483870968
82,January,1951,36.41935483870968
83,January,1952,36.16129032258065
84,January,1953,37.62903225806452
85,January,1954,30.79032258064516
86,January,1955,30.919354838709676
87,January,1956,32.016129032258064
88,January,1957,28.516129032258064
89,January,1958,31.85483870967742
90,January,1959,31.20967741935484
91,January,1960,33.87096774193548
92,January,1961,27.725806451612904
93,January,1962,32.564516129032256
94,January,1963,30.112903225806452
95,January,1964,35.645161290322584
96,January,1965,29.64516129032258
97,January,1966,32.193548387096776
98,January,1967,37.33870967741935
99,January,1968,26.70967741935484
100,January,1969,31.79032258064516
