t,ds,y
0,1869-01-01,34.596774193548384
1,1870-01-01,37.693548387096776
2,1871-01-01,27.838709677419356
3,1872-01-01,29.129032258064516
4,1873-01-01,27.35483870967742
5,1874-01-01,34.435483870967744
6,1875-01-01,23.806451612903224
7,1876-01-01,36.29032258064516
8,1877-01-01,27.677419354838708
9,1878-01-01,29.919354838709676
10,1879-01-01,25.983870967741936
11,1880-01-01,39.225806451612904
12,1881-01-01,24.629032258064516
13,1882-01-01,28.306451612903224
14,1883-01-01,24.403225806451612
15,1884-01-01,24.451612903225808
16,1885-01-01,29.080645161290324
17,1886-01-01,25.967741935483872
18,1887-01-01,28.306451612903224
19,1888-01-01,23.241935483870968
20,1889-01-01,35.74193548387097
21,1890-01-01,37.61290322580645
22,1891-01-01,34.08064516129032
23,1892-01-01,31.677419354838708
24,1893-01-01,23.758064516129032
25,1894-01-01,33.70967741935484
26,1895-01-01,29.612903225806452
27,1896-01-01,29.967741935483872
28,1897-01-01,30.79032258064516
29,1898-01-01,35.37096774193548
30,1899-01-01,31.338709677419356
31,1900-01-01,32.225806451612904
32,1901-01-01,32.564516129032256
33,1902-01-01,30.467741935483872
34,1903-01-01,30.483870967741936
35,1904-01-01,25.274193548387096
36,1905-01-01,29.274193548387096
37,1906-01-01,38.38709677419355
38,1907-01-01,34.854838709677416
39,1908-01-01,32.983870967741936
40,1909-01-01,34.516129032258064
41,1910-01-01,31.532258064516128
42,1911-01-01,36.25806451612903
43,1912-01-01,23.725806451612904
44,1913-01-01,40.82258064516129
45,1914-01-01,31.483870967741936
46,1915-01-01,34.45161290322581
47,1916-01-01,35.95161290322581
48,1917-01-01,32.83870967741935
49,1918-01-01,21.677419354838708
50,1919-01-01,35.61290322580645
51,1920-01-01,23.43548387096774
52,1921-01-01,33.403225806451616
53,1922-01-01,28.161290322580644
54,1923-01-01,29.919354838709676
55,1924-01-01,32.645161290322584
56,1925-01-01,28.403225806451612
57,1926-01-01,31.951612903225808
58,1927-01-01,30.903225806451612
59,1928-01-01,33.95161290322581
60,1929-01-01,31.919354838709676
61,1930-01-01,33.29032258064516
62,1931-01-01,32.725806451612904
63,1932-01-01,43.193548387096776
64,1933-01-01,40.306451612903224
65,1934-01-01,34.645161290322584
66,1935-01-01,28.838709677419356
67,1936-01-01,29.274193548387096
68,1937-01-01,40.20967741935484
69,1938-01-01,32.096774193548384
70,1939-01-01,32.145161290322584
71,1940-01-01,24.951612903225808
72,1941-01-01,29.403225806451612
73,1942-01-01,30.693548387096776
74,1943-01-01,30.741935483870968
75,1944-01-01,33.903225806451616
76,1945-01-01,25.193548387096776
77,1946-01-01,34.11290322580645
78,1947-01-01,37.12903225806452
79,1948-01-01,25.403225806451612
80,1949-01-01,38.61290322580645
81,1950-01-01,41.41935483870968
82,1951-01-01,36.41935483870968
83,1952-01-01,36.16129032258065
84,1953-01-01,37.62903225806452
85,1954-01-01,30.79032258064516
86,1955-01-01,30.919354838709676
87,1956-01-01,32.016129032258064
88,1957-01-01,28.516129032258064
89,1958-01-01,31.85483870967742
90,1959-01-01,31.20967741935484
91,1960-01-01,33.87096774193548
92,1961-01-01,27.725806451612904
93,1962-01-01,32.564516129032256
94,1963-01-01,30.112903225806452
95,1964-01-01,35.645161290322584
96,1965-01-01,29.64516129032258
97,1966-01-01,32.193548387096776
98,1967-01-01,37.33870967741935
99,1968-01-01,26.70967741935484
100,1969-01-01,31.79032258064516
101,1970-01-01,25.112903225806452
102,1971-01-01,26.93548387096774
103,1972-01-01,35.04838709677419
104,1973-01-01,35.483870967741936
105,1974-01-01,35.20967741935484
106,1975-01-01,37.29032258064516
107,1976-01-01,27.306451612903224
108,1977-01-01,22.048387096774192
109,1978-01-01,27.951612903225808
110,1979-01-01,33.54838709677419
111,1980-01-01,33.67741935483871
112,1981-01-01,26.20967741935484
113,1982-01-01,26.096774193548388
114,1983-01-01,34.483870967741936
115,1984-01-01,29.85483870967742
116,1985-01-01,28.806451612903224
117,1986-01-01,34.096774193548384
118,1987-01-01,32.29032258064516
119,1988-01-01,29.483870967741936
120,1989-01-01,37.37096774193548
121,1990-01-01,41.354838709677416
122,1991-01-01,34.87096774193548
123,1992-01-01,35.70967741935484
124,1993-01-01,36.32258064516129
125,1994-01-01,25.532258064516128
126,1995-01-01,37.516129032258064
127,1996-01-01,30.5
128,1997-01-01,32.145161290322584
129,1998-01-01,39.983870967741936
130,1999-01-01,33.903225806451616
131,2000-01-01,31.274193548387096
132,2001-01-01,33.62903225806452
133,2002-01-01,39.935483870967744
134,2003-01-01,27.5
135,2004-01-01,24.725806451612904
136,2005-01-01,31.306451612903224
137,2006-01-01,40.87096774193548
138,2007-01-01,37.483870967741936
139,2008-01-01,36.5
140,2009-01-01,27.919354838709676
141,2010-01-01,32.516129032258064
142,2011-01-01,29.677419354838708
143,2012-01-01,37.32258064516129
144,2013-01-01,35.08064516129032
145,2014-01-01,28.596774193548388
146,2015-01-01,29.85483870967742
147,2016-01-01,34.45161290322581
148,2017-01-01,38.016129032258064
149,2018-01-01,31.677419354838708
150,2019-01-01,32.516129032258064
151,2020-01-01,39.145161290322584
152,2021-01-01,34.75806451612903
153,2022-01-01,30.322580645161292
154,1869-02-01,34.80357142857143
155,1870-02-01,30.553571428571427
156,1871-02-01,30.392857142857142
157,1872-02-01,30.379310344827587
158,1873-02-01,29.089285714285715
159,1874-02-01,31.357142857142858
160,1875-02-01,25.160714285714285
161,1876-02-01,32.189655172413794
162,1877-02-01,37.089285714285715
163,1878-02-01,32.30357142857143
164,1879-02-01,27.928571428571427
165,1880-02-01,36.53448275862069
166,1881-02-01,28.535714285714285
167,1882-02-01,34.732142857142854
168,1883-02-01,30.178571428571427
169,1884-02-01,33.810344827586206
170,1885-02-01,22.553571428571427
171,1886-02-01,28.339285714285715
172,1887-02-01,31.892857142857142
173,1888-02-01,29.24137931034483
174,1889-02-01,28.071428571428573
175,1890-02-01,38.035714285714285
176,1891-02-01,36.375
177,1892-02-01,33.51724137931034
178,1893-02-01,29.678571428571427
179,1894-02-01,28.25
180,1895-02-01,24.285714285714285
181,1896-02-01,31.603448275862068
182,1897-02-01,33.44642857142857
183,1898-02-01,36.160714285714285
184,1899-02-01,28.089285714285715
185,1900-02-01,30.464285714285715
186,1901-02-01,26.446428571428573
187,1902-02-01,29.589285714285715
188,1903-02-01,33.535714285714285
189,1904-02-01,25.051724137931036
190,1905-02-01,24.803571428571427
191,1906-02-01,32.839285714285715
192,1907-02-01,25.803571428571427
193,1908-02-01,27.448275862068964
194,1909-02-01,38.05357142857143
195,1910-02-01,29.678571428571427
196,1911-02-01,31.160714285714285
197,1912-02-01,28.82758620689655
198,1913-02-01,31.25
199,1914-02-01,25.392857142857142
200,1915-02-01,35.857142857142854
201,1916-02-01,27.844827586206897
202,1917-02-01,28.321428571428573
203,1918-02-01,30.392857142857142
204,1919-02-01,34.910714285714285
205,1920-02-01,28.5
206,1921-02-01,33.92857142857143
207,1922-02-01,33.589285714285715
208,1923-02-01,26.285714285714285
209,1924-02-01,28.82758620689655
210,1925-02-01,37.839285714285715
211,1926-02-01,29.196428571428573
212,1927-02-01,36.357142857142854
213,1928-02-01,32.98275862068966
214,1929-02-01,32.910714285714285
215,1930-02-01,37.0
216,1931-02-01,33.839285714285715
217,1932-02-01,36.10344827586207
218,1933-02-01,34.07142857142857
219,1934-02-01,19.910714285714285
220,1935-02-01,31.160714285714285
221,1936-02-01,25.70689655172414
222,1937-02-01,34.785714285714285
223,1938-02-01,35.375
224,1939-02-01,37.0
225,1940-02-01,32.86206896551724
226,1941-02-01,31.089285714285715
227,1942-02-01,29.625
228,1943-02-01,34.589285714285715
229,1944-02-01,33.172413793103445
230,1945-02-01,33.910714285714285
231,1946-02-01,31.660714285714285
232,1947-02-01,29.25
233,1948-02-01,30.724137931034484
234,1949-02-01,38.607142857142854
235,1950-02-01,31.553571428571427
236,1951-02-01,36.160714285714285
237,1952-02-01,36.189655172413794
238,1953-02-01,38.42857142857143
239,1954-02-01,40.125
240,1955-02-01,34.982142857142854
241,1956-02-01,36.55172413793103
242,1957-02-01,37.232142857142854
243,1958-02-01,27.392857142857142
244,1959-02-01,32.035714285714285
245,1960-02-01,36.258620689655174
246,1961-02-01,36.625
247,1962-02-01,31.803571428571427
248,1963-02-01,28.232142857142858
249,1964-02-01,32.810344827586206
250,1965-02-01,33.857142857142854
251,1966-02-01,35.035714285714285
252,1967-02-01,29.160714285714285
253,1968-02-01,28.844827586206897
254,1969-02-01,32.607142857142854
255,1970-02-01,32.982142857142854
256,1971-02-01,35.089285714285715
257,1972-02-01,31.43103448275862
258,1973-02-01,32.482142857142854
259,1974-02-01,31.696428571428573
260,1975-02-01,35.785714285714285
261,1976-02-01,39.86206896551724
262,1977-02-01,33.44642857142857
263,1978-02-01,27.178571428571427
264,1979-02-01,25.464285714285715
265,1980-02-01,31.379310344827587
266,1981-02-01,39.267857142857146
267,1982-02-01,35.339285714285715
268,1983-02-01,36.410714285714285
269,1984-02-01,40.62068965517241
270,1985-02-01,36.55357142857143
271,1986-02-01,31.946428571428573
272,1987-02-01,33.19642857142857
273,1988-02-01,34.94827586206897
274,1989-02-01,34.5
275,1990-02-01,39.714285714285715
276,1991-02-01,39.94642857142857
277,1992-02-01,36.3448275862069
278,1993-02-01,30.75
279,1994-02-01,30.571428571428573
280,1995-02-01,31.553571428571427
281,1996-02-01,33.8448275862069
282,1997-02-01,40.0
283,1998-02-01,40.625
284,1999-02-01,38.82142857142857
285,2000-02-01,37.275862068965516
286,2001-02-01,35.910714285714285
287,2002-02-01,40.589285714285715
288,2003-02-01,30.071428571428573
289,2004-02-01,35.03448275862069
290,2005-02-01,36.535714285714285
291,2006-02-01,35.732142857142854
292,2007-02-01,28.25
293,2008-02-01,35.775862068965516
294,2009-02-01,36.714285714285715
295,2010-02-01,33.107142857142854
296,2011-02-01,36.035714285714285
297,2012-02-01,40.87931034482759
298,2013-02-01,33.910714285714285
299,2014-02-01,31.625
300,2015-02-01,23.946428571428573
301,2016-02-01,37.706896551724135
